"time","tps"
"2025-04-24 17:16:44 UTC","104"
"2025-04-24 17:16:47 UTC","113"
"2025-04-24 17:16:50 UTC","111"
"2025-04-24 17:16:53 UTC","125"
"2025-04-24 17:16:56 UTC","124"
"2025-04-24 17:16:59 UTC","127"
"2025-04-24 17:17:02 UTC","131"
"2025-04-24 17:17:05 UTC","122"
"2025-04-24 17:17:08 UTC","119"
"2025-04-24 17:17:11 UTC","133"
"2025-04-24 17:17:14 UTC","127"
"2025-04-24 17:17:17 UTC","129"
"2025-04-24 17:17:20 UTC","126"
"2025-04-24 17:17:23 UTC","138"
"2025-04-24 17:17:26 UTC","129"
"2025-04-24 17:17:29 UTC","132"
"2025-04-24 17:17:32 UTC","130"
"2025-04-24 17:17:35 UTC","124"
"2025-04-24 17:17:38 UTC","82"
"2025-04-24 17:17:41 UTC","100"
"2025-04-24 17:17:44 UTC","97"
"2025-04-24 17:17:47 UTC","94"
"2025-04-24 17:17:50 UTC","98"
"2025-04-24 17:17:53 UTC","111"
"2025-04-24 17:17:56 UTC","119"
"2025-04-24 17:17:59 UTC","108"
"2025-04-24 17:18:02 UTC","129"
"2025-04-24 17:18:05 UTC","133"
"2025-04-24 17:18:08 UTC","121"
"2025-04-24 17:18:11 UTC","137"
"2025-04-24 17:18:14 UTC","138"
"2025-04-24 17:18:17 UTC","136"
"2025-04-24 17:18:20 UTC","141"
"2025-04-24 17:18:23 UTC","130"
"2025-04-24 17:18:26 UTC","96"
"2025-04-24 17:18:29 UTC","94"
"2025-04-24 17:18:32 UTC","88"
"2025-04-24 17:18:35 UTC","79"
"2025-04-24 17:18:38 UTC","80"
"2025-04-24 17:18:41 UTC","104"
"2025-04-24 17:18:44 UTC","107"
"2025-04-24 17:18:47 UTC","115"
"2025-04-24 17:18:50 UTC","112"
"2025-04-24 17:18:53 UTC","122"
"2025-04-24 17:18:56 UTC","127"
"2025-04-24 17:18:59 UTC","128"
"2025-04-24 17:19:02 UTC","120"
"2025-04-24 17:19:05 UTC","123"
"2025-04-24 17:19:08 UTC","123"
"2025-04-24 17:19:11 UTC","133"
"2025-04-24 17:19:14 UTC","132"
"2025-04-24 17:19:17 UTC","138"
"2025-04-24 17:19:20 UTC","130"
"2025-04-24 17:19:23 UTC","111"
"2025-04-24 17:19:26 UTC","105"
"2025-04-24 17:19:29 UTC","107"
"2025-04-24 17:19:32 UTC","108"
"2025-04-24 17:19:35 UTC","112"
"2025-04-24 17:19:38 UTC","115"
"2025-04-24 17:19:41 UTC","117"
"2025-04-24 17:19:44 UTC","122"
"2025-04-24 17:19:47 UTC","133"
"2025-04-24 17:19:50 UTC","125"
"2025-04-24 17:19:53 UTC","127"
"2025-04-24 17:19:56 UTC","123"
"2025-04-24 17:19:59 UTC","133"
"2025-04-24 17:20:02 UTC","119"
"2025-04-24 17:20:06 UTC","126"
"2025-04-24 17:20:09 UTC","115"
"2025-04-24 17:20:12 UTC","133"
"2025-04-24 17:20:15 UTC","131"
"2025-04-24 17:20:18 UTC","129"
"2025-04-24 17:20:21 UTC","104"
"2025-04-24 17:20:24 UTC","98"
"2025-04-24 17:20:27 UTC","121"
"2025-04-24 17:20:30 UTC","115"
"2025-04-24 17:20:33 UTC","109"
"2025-04-24 17:20:36 UTC","112"
"2025-04-24 17:20:39 UTC","110"
"2025-04-24 17:20:42 UTC","122"
"2025-04-24 17:20:45 UTC","125"
"2025-04-24 17:20:48 UTC","132"
"2025-04-24 17:20:51 UTC","126"
"2025-04-24 17:20:54 UTC","123"
"2025-04-24 17:20:57 UTC","129"
"2025-04-24 17:21:00 UTC","121"
"2025-04-24 17:21:03 UTC","120"
"2025-04-24 17:21:06 UTC","119"
"2025-04-24 17:21:09 UTC","126"
"2025-04-24 17:21:12 UTC","138"
"2025-04-24 17:21:15 UTC","135"
"2025-04-24 17:21:18 UTC","118"
"2025-04-24 17:21:21 UTC","120"
"2025-04-24 17:21:24 UTC","90"
"2025-04-24 17:21:27 UTC","88"
"2025-04-24 17:21:30 UTC","98"
"2025-04-24 17:21:33 UTC","105"
"2025-04-24 17:21:36 UTC","104"
"2025-04-24 17:21:39 UTC","124"
"2025-04-24 17:21:42 UTC","120"
"2025-04-24 17:21:45 UTC","123"
"2025-04-24 17:21:48 UTC","141"
"2025-04-24 17:21:51 UTC","128"
"2025-04-24 17:21:54 UTC","128"
"2025-04-24 17:21:57 UTC","126"
"2025-04-24 17:22:00 UTC","132"
"2025-04-24 17:22:03 UTC","129"
"2025-04-24 17:22:06 UTC","135"
"2025-04-24 17:22:09 UTC","129"
"2025-04-24 17:22:12 UTC","129"
"2025-04-24 17:22:15 UTC","123"
"2025-04-24 17:22:18 UTC","119"
"2025-04-24 17:22:21 UTC","112"
"2025-04-24 17:22:24 UTC","93"
"2025-04-24 17:22:27 UTC","111"
"2025-04-24 17:22:30 UTC","110"
"2025-04-24 17:22:33 UTC","121"
"2025-04-24 17:22:36 UTC","113"
"2025-04-24 17:22:39 UTC","125"
"2025-04-24 17:22:42 UTC","114"
"2025-04-24 17:22:45 UTC","121"
"2025-04-24 17:22:48 UTC","137"
"2025-04-24 17:22:51 UTC","132"
"2025-04-24 17:22:54 UTC","127"
"2025-04-24 17:22:57 UTC","139"
"2025-04-24 17:23:00 UTC","128"
"2025-04-24 17:23:03 UTC","126"
"2025-04-24 17:23:06 UTC","127"
"2025-04-24 17:23:09 UTC","132"
"2025-04-24 17:23:12 UTC","130"
"2025-04-24 17:23:15 UTC","122"
"2025-04-24 17:23:18 UTC","105"
"2025-04-24 17:23:21 UTC","118"
"2025-04-24 17:23:24 UTC","114"
"2025-04-24 17:23:27 UTC","110"
"2025-04-24 17:23:30 UTC","106"
"2025-04-24 17:23:33 UTC","117"
"2025-04-24 17:23:36 UTC","122"
"2025-04-24 17:23:39 UTC","127"
"2025-04-24 17:23:42 UTC","89"
"2025-04-24 17:23:45 UTC","94"
"2025-04-24 17:23:48 UTC","109"
"2025-04-24 17:23:51 UTC","106"
"2025-04-24 17:23:54 UTC","119"
"2025-04-24 17:23:57 UTC","126"
"2025-04-24 17:24:00 UTC","121"
"2025-04-24 17:24:03 UTC","122"
"2025-04-24 17:24:06 UTC","134"
"2025-04-24 17:24:09 UTC","140"
"2025-04-24 17:24:12 UTC","134"
"2025-04-24 17:24:15 UTC","107"
"2025-04-24 17:24:18 UTC","91"
"2025-04-24 17:24:21 UTC","99"
"2025-04-24 17:24:24 UTC","113"
"2025-04-24 17:24:27 UTC","115"
"2025-04-24 17:24:30 UTC","124"
"2025-04-24 17:24:33 UTC","116"
"2025-04-24 17:24:36 UTC","116"
"2025-04-24 17:24:39 UTC","121"
"2025-04-24 17:24:42 UTC","135"
"2025-04-24 17:24:45 UTC","130"
"2025-04-24 17:24:48 UTC","126"
"2025-04-24 17:24:51 UTC","128"
"2025-04-24 17:24:54 UTC","125"
"2025-04-24 17:24:57 UTC","117"
"2025-04-24 17:25:00 UTC","123"
"2025-04-24 17:25:03 UTC","126"
"2025-04-24 17:25:06 UTC","128"
"2025-04-24 17:25:09 UTC","122"
"2025-04-24 17:25:12 UTC","81"
"2025-04-24 17:25:15 UTC","99"
"2025-04-24 17:25:18 UTC","124"
"2025-04-24 17:25:21 UTC","120"
"2025-04-24 17:25:24 UTC","113"
"2025-04-24 17:25:27 UTC","116"
"2025-04-24 17:25:30 UTC","124"
"2025-04-24 17:25:33 UTC","128"
"2025-04-24 17:25:36 UTC","124"
"2025-04-24 17:25:39 UTC","112"
"2025-04-24 17:25:42 UTC","120"
"2025-04-24 17:25:45 UTC","121"
"2025-04-24 17:25:48 UTC","125"
"2025-04-24 17:25:51 UTC","128"
"2025-04-24 17:25:54 UTC","125"
"2025-04-24 17:25:57 UTC","135"
"2025-04-24 17:26:00 UTC","125"
"2025-04-24 17:26:03 UTC","133"
"2025-04-24 17:26:06 UTC","144"
"2025-04-24 17:26:09 UTC","134"
"2025-04-24 17:26:12 UTC","89"
"2025-04-24 17:26:15 UTC","98"
"2025-04-24 17:26:18 UTC","118"
"2025-04-24 17:26:21 UTC","127"
"2025-04-24 17:26:24 UTC","121"
"2025-04-24 17:26:27 UTC","117"
"2025-04-24 17:26:30 UTC","118"
"2025-04-24 17:26:33 UTC","122"
"2025-04-24 17:26:36 UTC","122"
"2025-04-24 17:26:39 UTC","128"
"2025-04-24 17:26:42 UTC","114"
"2025-04-24 17:26:45 UTC","118"
