"time,tps"
"14:44:06,119"
"14:44:09,87"
"14:44:12,56"
"14:44:15,137"
"14:44:18,129"
"14:44:21,201"
"14:44:24,178"
"14:44:27,199"
"14:44:30,169"
"14:44:33,219"
"14:44:36,167"
"14:44:39,198"
"14:44:42,200"
"14:44:45,190"
"14:44:48,185"
"14:44:51,181"
"14:44:54,203"
"14:44:57,215"
"14:45:00,192"
"14:45:03,199"
"14:45:06,195"
"14:45:09,130"
"14:45:12,190"
"14:45:15,213"
"14:45:18,157"
"14:45:21,212"
"14:45:24,158"
"14:45:27,216"
"14:45:30,168"
"14:45:33,214"
"14:45:36,162"
"14:45:39,153"
"14:45:42,213"
"14:45:45,173"
"14:45:48,207"
"14:45:51,185"
"14:45:54,129"
"14:45:57,109"
"14:46:00,124"
"14:46:03,97"
"14:46:06,214"
"14:46:09,204"
"14:46:12,162"
"14:46:15,185"
"14:46:18,195"
"14:46:21,210"
"14:46:24,169"
"14:46:27,168"
"14:46:30,183"
"14:46:33,148"
"14:46:37,191"
"14:46:40,172"
"14:46:43,202"
"14:46:46,186"
"14:46:49,214"
"14:46:52,208"
"14:46:55,225"
"14:46:58,207"
"14:47:01,171"
"14:47:04,130"
"14:47:07,120"
"14:47:10,84"
"14:47:13,186"
"14:47:16,166"
"14:47:19,189"
"14:47:22,202"
"14:47:25,184"
"14:47:28,193"
"14:47:31,198"
"14:47:34,140"
"14:47:37,73"
"14:47:40,133"
"14:47:43,122"
"14:47:46,160"
"14:47:49,139"
"14:47:52,189"
"14:47:55,179"
"14:47:58,196"
"14:48:01,168"
"14:48:04,216"
"14:48:08,185"
"14:48:11,228"
"14:48:14,183"
"14:48:17,201"
"14:48:20,186"
"14:48:23,188"
"14:48:26,173"
"14:48:29,201"
"14:48:32,191"
"14:48:35,171"
"14:48:38,182"
"14:48:41,106"
"14:48:44,119"
"14:48:47,146"
"14:48:50,235"
"14:48:53,192"
"14:48:56,213"
"14:48:59,163"
"14:49:02,171"
"14:49:05,210"
"14:49:08,166"
"14:49:11,217"
"14:49:14,157"
"14:49:17,189"
"14:49:20,183"
"14:49:23,203"
"14:49:26,236"
"14:49:29,198"
"14:49:32,147"
"14:49:35,123"
"14:49:38,53"
"14:49:41,106"
"14:49:44,166"
"14:49:47,185"
"14:49:50,232"
"14:49:53,175"
"14:49:56,169"
"14:49:59,137"
"14:50:02,29"
"14:50:05,30"
"14:50:08,35"
"14:50:11,26"
"14:50:14,15"
"14:50:17,17"
"14:50:20,13"
"14:50:23,12"
"14:50:26,10"
"14:50:29,9"
"14:50:32,9"
"14:50:35,9"
"14:50:38,12"
"14:50:41,9"
"14:50:44,7"
"14:50:47,10"
"14:50:50,12"
"14:50:53,12"
"14:50:56,8"
"14:50:59,10"
"14:51:02,11"
"14:51:05,10"
"14:51:08,19"
"14:51:11,9"
"14:51:14,8"
"14:51:17,11"
"14:51:20,11"
"14:51:23,8"
"14:51:26,8"
"14:51:29,10"
"14:51:32,11"
"14:51:35,9"
"14:51:38,7"
"14:51:41,9"
"14:51:44,8"
"14:51:47,8"
"14:51:50,8"
"14:51:53,5"
"14:51:56,10"
"14:51:59,8"
"14:52:02,6"
"14:52:05,10"
"14:52:08,13"
"14:52:11,10"
"14:52:14,8"
"14:52:17,11"
"14:52:20,10"
"14:52:23,6"
"14:52:26,8"
"14:52:29,8"
"14:52:32,7"
"14:52:35,9"
"14:52:38,8"
"14:52:41,11"
"14:52:44,8"
"14:52:47,19"
"14:52:50,17"
"14:52:53,17"
"14:52:56,17"
"14:52:59,16"
"14:53:02,15"
"14:53:05,17"
"14:53:08,26"
"14:53:11,20"
"14:53:14,18"
"14:53:17,22"
"14:53:20,18"
"14:53:23,16"
"14:53:26,13"
"14:53:29,15"
"14:53:32,14"
"14:53:35,15"
"14:53:38,13"
"14:53:41,19"
"14:53:45,15"
"14:53:48,18"
"14:53:51,18"
"14:53:54,17"
"14:53:57,18"
"14:54:00,19"
"14:54:03,15"
"14:54:06,23"
"14:54:09,25"
"14:54:12,21"
"14:54:15,21"
"14:54:18,18"
"14:54:21,18"
"14:54:24,22"
"14:54:27,76"
"14:54:30,75"
"14:54:33,81"
"14:54:36,86"
"14:54:39,96"
"14:54:42,110"
"14:54:45,105"
"14:54:48,106"
"14:54:51,109"
"14:54:54,115"
"14:54:57,122"
"14:55:00,120"
"14:55:03,115"
"14:55:06,106"
"14:55:09,138"
"14:55:12,109"
"14:55:15,110"
"14:55:18,103"
"14:55:21,93"
"14:55:24,90"
"14:55:27,106"
"14:55:30,115"
"14:55:33,117"
"14:55:36,106"
"14:55:39,108"
"14:55:42,107"
"14:55:45,110"
"14:55:48,112"
"14:55:51,112"
"14:55:54,114"
"14:55:57,95"
"14:56:00,107"
"14:56:03,95"
"14:56:06,96"
"14:56:09,99"
"14:56:12,95"
"14:56:15,98"
"14:56:18,105"
"14:56:21,103"
"14:56:24,98"
"14:56:27,93"
"14:56:30,92"
"14:56:33,92"
"14:56:36,96"
"14:56:39,98"
"14:56:42,93"
"14:56:45,92"
"14:56:48,84"
"14:56:51,87"
"14:56:54,97"
"14:56:57,88"
"14:57:00,90"
"14:57:03,91"
"14:57:06,84"
"14:57:09,94"
"14:57:12,87"
"14:57:15,79"
"14:57:18,76"
"14:57:21,86"
"14:57:24,87"
"14:57:27,94"
"14:57:30,91"
"14:57:33,92"
"14:57:36,93"
"14:57:39,87"
"14:57:42,84"
"14:57:45,75"
"14:57:48,71"
"14:57:51,72"
"14:57:54,71"
"14:57:57,88"
"14:58:00,93"
"14:58:03,95"
"14:58:06,99"
"14:58:09,87"
"14:58:12,95"
"14:58:15,91"
"14:58:18,85"
"14:58:21,89"
"14:58:24,88"
"14:58:27,84"
"14:58:30,76"
"14:58:33,86"
"14:58:36,80"
"14:58:39,76"
"14:58:42,93"
"14:58:45,86"
"14:58:48,91"
"14:58:51,87"
"14:58:54,90"
"14:58:57,81"
"14:59:00,86"
"14:59:03,74"
"14:59:06,85"
"14:59:09,97"
"14:59:12,81"
"14:59:15,78"
"14:59:18,83"
"14:59:21,82"
"14:59:24,83"
"14:59:27,92"
"14:59:30,91"
"14:59:33,94"
"14:59:36,91"
"14:59:39,94"
"14:59:42,79"
"14:59:45,78"
"14:59:48,83"
"14:59:51,85"
"14:59:54,79"
"14:59:57,80"
"15:00:00,84"
"15:00:03,94"
"15:00:06,84"
"15:00:09,86"
"15:00:12,70"
"15:00:15,73"
"15:00:18,69"
"15:00:21,75"
"15:00:24,78"
"15:00:27,82"
"15:00:30,77"
"15:00:33,85"
"15:00:36,82"
"15:00:39,65"
"15:00:42,74"
"15:00:45,78"
"15:00:48,92"
"15:00:51,93"
"15:00:54,87"
"15:00:57,89"
"15:01:00,88"
"15:01:03,88"
"15:01:06,94"
"15:01:09,82"
"15:01:12,78"
"15:01:15,88"
"15:01:18,94"
"15:01:21,89"
"15:01:24,89"
"15:01:27,85"
"15:01:30,82"
"15:01:33,81"
"15:01:36,81"
"15:01:39,82"
"15:01:42,81"
"15:01:45,79"
"15:01:48,82"
"15:01:51,83"
"15:01:54,80"
"15:01:57,84"
"15:02:00,81"
"15:02:03,78"
"15:02:06,81"
"15:02:09,82"
"15:02:12,82"
"15:02:15,85"
"15:02:18,85"
"15:02:21,81"
"15:02:24,83"
"15:02:27,79"
"15:02:30,77"
"15:02:33,76"
"15:02:37,84"
"15:02:40,85"
"15:02:43,85"
"15:02:46,82"
"15:02:49,82"
"15:02:52,78"
"15:02:55,74"
"15:02:58,73"
"15:03:01,70"
"15:03:04,71"
"15:03:07,76"
"15:03:10,89"
"15:03:13,93"
"15:03:16,92"
"15:03:19,76"
"15:03:22,68"
"15:03:25,70"
"15:03:28,76"
"15:03:31,75"
"15:03:34,68"
"15:03:37,68"
"15:03:40,71"
"15:03:43,79"
"15:03:46,87"
"15:03:49,95"
"15:03:52,88"
"15:03:55,92"
"15:03:58,91"
