"time","lat"
"2025/04/22 14:45:47 UTC","304"
"2025/04/22 14:45:53 UTC","366"
"2025/04/22 14:45:59 UTC","2904"
"2025/04/22 14:46:05 UTC","719"
"2025/04/22 14:46:11 UTC","687"
"2025/04/22 14:46:17 UTC","486"
"2025/04/22 14:46:23 UTC","505"
"2025/04/22 14:46:29 UTC","1463"
"2025/04/22 14:46:35 UTC","340"
"2025/04/22 14:46:41 UTC","464"
"2025/04/22 14:46:47 UTC","506"
"2025/04/22 14:46:53 UTC","456"
"2025/04/22 14:46:59 UTC","554"
"2025/04/22 14:47:05 UTC","2370"
"2025/04/22 14:47:12 UTC","1191"
"2025/04/22 14:47:18 UTC","653"
"2025/04/22 14:47:24 UTC","726"
"2025/04/22 14:47:30 UTC","609"
"2025/04/22 14:47:36 UTC","969"
"2025/04/22 14:47:42 UTC","2973"
"2025/04/22 14:47:47 UTC","379"
"2025/04/22 14:47:54 UTC","281"
"2025/04/22 14:48:00 UTC","327"
"2025/04/22 14:48:06 UTC","551"
"2025/04/22 14:48:12 UTC","930"
"2025/04/22 14:48:18 UTC","234"
"2025/04/22 14:48:24 UTC","293"
"2025/04/22 14:48:30 UTC","278"
"2025/04/22 14:48:36 UTC","732"
"2025/04/22 14:48:42 UTC","1063"
"2025/04/22 14:48:48 UTC","922"
"2025/04/22 14:48:54 UTC","413"
"2025/04/22 14:49:00 UTC","541"
"2025/04/22 14:49:06 UTC","564"
"2025/04/22 14:49:12 UTC","1039"
"2025/04/22 14:49:18 UTC","518"
"2025/04/22 14:49:24 UTC","518"
"2025/04/22 14:49:30 UTC","287"
"2025/04/22 14:49:36 UTC","1302"
"2025/04/22 14:49:42 UTC","1768"
"2025/04/22 14:49:48 UTC","438"
"2025/04/22 14:49:54 UTC","240"
"2025/04/22 14:50:00 UTC","351"
"2025/04/22 14:50:06 UTC","182"
"2025/04/22 14:50:12 UTC","97"
"2025/04/22 14:50:18 UTC","82"
"2025/04/22 14:50:24 UTC","91"
"2025/04/22 14:50:30 UTC","86"
"2025/04/22 14:50:36 UTC","85"
"2025/04/22 14:50:42 UTC","85"
"2025/04/22 14:50:48 UTC","88"
"2025/04/22 14:50:54 UTC","83"
"2025/04/22 14:51:00 UTC","86"
"2025/04/22 14:51:06 UTC","167"
"2025/04/22 14:51:12 UTC","96"
"2025/04/22 14:51:18 UTC","80"
"2025/04/22 14:51:24 UTC","528"
"2025/04/22 14:51:30 UTC","88"
"2025/04/22 14:51:36 UTC","95"
"2025/04/22 14:51:42 UTC","109"
"2025/04/22 14:51:48 UTC","91"
"2025/04/22 14:51:54 UTC","87"
"2025/04/22 14:52:00 UTC","103"
"2025/04/22 14:52:06 UTC","132"
"2025/04/22 14:52:12 UTC","83"
"2025/04/22 14:52:18 UTC","84"
"2025/04/22 14:52:24 UTC","88"
"2025/04/22 14:52:30 UTC","127"
"2025/04/22 14:52:36 UTC","82"
"2025/04/22 14:52:42 UTC","82"
"2025/04/22 14:52:48 UTC","85"
"2025/04/22 14:52:54 UTC","181"
"2025/04/22 14:53:00 UTC","110"
"2025/04/22 14:53:06 UTC","135"
"2025/04/22 14:53:12 UTC","130"
"2025/04/22 14:53:18 UTC","92"
"2025/04/22 14:53:24 UTC","83"
"2025/04/22 14:53:30 UTC","143"
"2025/04/22 14:53:36 UTC","87"
"2025/04/22 14:53:42 UTC","84"
"2025/04/22 14:53:48 UTC","90"
"2025/04/22 14:53:54 UTC","91"
"2025/04/22 14:54:00 UTC","94"
"2025/04/22 14:54:06 UTC","111"
"2025/04/22 14:54:12 UTC","88"
"2025/04/22 14:54:18 UTC","86"
"2025/04/22 14:54:24 UTC","111"
"2025/04/22 14:54:30 UTC","115"
"2025/04/22 14:54:36 UTC","144"
"2025/04/22 14:54:42 UTC","156"
"2025/04/22 14:54:48 UTC","367"
"2025/04/22 14:54:54 UTC","336"
"2025/04/22 14:55:00 UTC","242"
"2025/04/22 14:55:06 UTC","286"
"2025/04/22 14:55:12 UTC","357"
